,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
sigma_switch,0,20347.372903749776,50.05831452670827,0.0,0.5009248706881058,342.57780012168297,0.0,True,log
mean_switch,1,20242.692819215576,37.9070289640149,104.68008453420299,0.4990751293118943,401.6068888082362,83.47894412576646,True,log
