tau,tau_date
4277,2004-03-19
2763,1998-04-06
2583,1997-07-18
2618,1997-09-09
1875,1994-09-27
1875,1994-09-27
1875,1994-09-27
2526,1997-04-24
1786,1994-05-23
1786,1994-05-23
1786,1994-05-23
1786,1994-05-23
6671,2013-09-09
7314,2016-03-21
6803,2014-03-18
4502,2005-01-31
4704,2005-11-10
3510,2001-03-23
5567,2009-04-14
5230,2007-12-07
6856,2014-06-02
3343,2000-07-28
2294,1996-05-23
2294,1996-05-23
2608,1997-08-25
1874,1994-09-26
195,1988-02-25
195,1988-02-25
195,1988-02-25
195,1988-02-25
195,1988-02-25
195,1988-02-25
195,1988-02-25
195,1988-02-25
91,1987-09-28
91,1987-09-28
171,1988-01-21
861,1990-10-03
1481,1993-03-05
710,1990-03-01
710,1990-03-01
710,1990-03-01
710,1990-03-01
710,1990-03-01
710,1990-03-01
515,1989-05-29
515,1989-05-29
515,1989-05-29
515,1989-05-29
515,1989-05-29
515,1989-05-29
515,1989-05-29
636,1989-11-14
315,1988-08-15
514,1989-05-26
514,1989-05-26
4693,2005-10-26
3137,1999-10-01
1172,1991-12-18
3487,2001-02-20
4772,2006-02-16
4443,2004-11-08
4510,2005-02-10
2849,1998-08-10
6115,2011-06-17
7630,2017-06-14
7630,2017-06-14
7630,2017-06-14
8020,2018-12-21
8637,2021-05-27
6983,2014-12-01
8802,2022-01-19
8802,2022-01-19
8802,2022-01-19
8802,2022-01-19
7734,2017-11-07
7734,2017-11-07
7017,2015-01-21
5609,2009-06-12
7404,2016-07-27
7499,2016-12-07
7499,2016-12-07
8452,2020-09-03
8452,2020-09-03
7734,2017-11-07
7734,2017-11-07
7734,2017-11-07
7734,2017-11-07
8078,2019-03-20
8078,2019-03-20
7247,2015-12-14
4880,2006-07-20
6567,2013-04-11
4341,2004-06-17
3945,2002-12-03
3945,2002-12-03
2851,1998-08-12
2706,1998-01-15
2706,1998-01-15
2706,1998-01-15
3563,2001-06-07
3501,2001-03-12
3501,2001-03-12
1327,1992-07-28
1432,1992-12-22
1333,1992-08-05
149,1987-12-17
149,1987-12-17
1390,1992-10-23
1397,1992-11-03
563,1989-08-03
563,1989-08-03
2178,1995-12-05
3223,2000-02-07
3661,2001-10-23
3915,2002-10-22
4314,2004-05-11
4314,2004-05-11
2959,1999-01-15
4043,2003-04-23
4675,2005-09-30
6261,2012-01-19
6056,2011-03-22
4400,2004-09-08
582,1989-08-30
2132,1995-10-02
2716,1998-01-29
4374,2004-08-03
3319,2000-06-26
3250,2000-03-15
6268,2012-01-30
5305,2008-03-31
5305,2008-03-31
757,1990-05-09
757,1990-05-09
757,1990-05-09
757,1990-05-09
757,1990-05-09
1374,1992-10-01
1892,1994-10-20
224,1988-04-08
224,1988-04-08
637,1989-11-15
962,1991-02-25
962,1991-02-25
1794,1994-06-03
2534,1997-05-06
1713,1994-02-04
2860,1998-08-25
2720,1998-02-04
3184,1999-12-07
4277,2004-03-19
5325,2008-04-28
5065,2007-04-16
7299,2016-02-29
7299,2016-02-29
6821,2014-04-11
8953,2022-08-24
8772,2021-12-06
5390,2008-07-30
6823,2014-04-15
4340,2004-06-16
1069,1991-07-26
1069,1991-07-26
2286,1996-05-13
2386,1996-10-02
2678,1997-12-03
3003,1999-03-19
3003,1999-03-19
4380,2004-08-11
2540,1997-05-14
1663,1993-11-23
1663,1993-11-23
3609,2001-08-10
5524,2009-02-10
7149,2015-07-28
7050,2015-03-09
7050,2015-03-09
7350,2016-05-11
7374,2016-06-15
7374,2016-06-15
7374,2016-06-15
6451,2012-10-23
6451,2012-10-23
7367,2016-06-06
7367,2016-06-06
7367,2016-06-06
7367,2016-06-06
2807,1998-06-11
2801,1998-06-03
2770,1998-04-17
2406,1996-10-30
3700,2001-12-17
3979,2003-01-23
1336,1992-08-10
3051,1999-06-01
4769,2006-02-13
5153,2007-08-20
3506,2001-03-19
5431,2008-09-26
1854,1994-08-26
1854,1994-08-26
2924,1998-11-24
2924,1998-11-24
3392,2000-10-05
2552,1997-06-02
2552,1997-06-02
1582,1993-07-30
1582,1993-07-30
2594,1997-08-04
2594,1997-08-04
4641,2005-08-15
4641,2005-08-15
4641,2005-08-15
4678,2005-10-05
3728,2002-01-29
4315,2004-05-12
3434,2000-12-04
4553,2005-04-13
5158,2007-08-27
5621,2009-06-30
4371,2004-07-29
1988,1995-03-08
1988,1995-03-08
3962,2002-12-30
3962,2002-12-30
5588,2009-05-13
7738,2017-11-13
8712,2021-09-13
6538,2013-02-28
8311,2020-02-12
4449,2004-11-16
6782,2014-02-14
7395,2016-07-14
7395,2016-07-14
5172,2007-09-17
4831,2006-05-12
4831,2006-05-12
4586,2005-05-30
3825,2002-06-18
2448,1996-12-31
1708,1994-01-28
2921,1998-11-19
5049,2007-03-21
5049,2007-03-21
2885,1998-09-30
2449,1997-01-02
2278,1996-04-30
2278,1996-04-30
2278,1996-04-30
480,1989-04-07
480,1989-04-07
480,1989-04-07
7,1987-06-01
7,1987-06-01
7,1987-06-01
7,1987-06-01
7,1987-06-01
7,1987-06-01
671,1990-01-05
795,1990-07-03
795,1990-07-03
795,1990-07-03
2580,1997-07-15
2658,1997-11-04
5675,2009-09-16
5675,2009-09-16
4021,2003-03-24
3209,2000-01-18
4590,2005-06-03
6437,2012-10-03
7865,2018-05-17
7865,2018-05-17
6306,2012-03-23
7632,2017-06-16
7417,2016-08-15
6269,2012-01-31
7085,2015-04-28
5372,2008-07-03
5212,2007-11-12
4818,2006-04-25
5161,2007-08-30
5161,2007-08-30
5161,2007-08-30
4603,2005-06-22
1316,1992-07-13
1316,1992-07-13
763,1990-05-17
763,1990-05-17
443,1989-02-13
1160,1991-12-02
1464,1993-02-10
2953,1999-01-07
2194,1995-12-29
1051,1991-07-02
634,1989-11-10
1370,1992-09-25
322,1988-08-24
423,1989-01-16
423,1989-01-16
1470,1993-02-18
2199,1996-01-08
3380,2000-09-19
4153,2003-09-24
5674,2009-09-15
2649,1997-10-22
1985,1995-03-03
4002,2003-02-25
4947,2006-10-23
5241,2007-12-24
4752,2006-01-19
6376,2012-07-09
7412,2016-08-08
4818,2006-04-25
5025,2007-02-14
3055,1999-06-07
4878,2006-07-18
5106,2007-06-13
6858,2014-06-04
5280,2008-02-22
7337,2016-04-22
5577,2009-04-28
2928,1998-11-30
2211,1996-01-24
2211,1996-01-24
2915,1998-11-11
5157,2007-08-24
6207,2011-10-28
4503,2005-02-01
1958,1995-01-25
2105,1995-08-23
2105,1995-08-23
2651,1997-10-24
6167,2011-09-01
6564,2013-04-08
4945,2006-10-19
5518,2009-02-02
7491,2016-11-25
8390,2020-06-08
8390,2020-06-08
8390,2020-06-08
8390,2020-06-08
8390,2020-06-08
8494,2020-11-02
8124,2019-05-24
8124,2019-05-24
7793,2018-02-01
8646,2021-06-10
8007,2018-12-04
8007,2018-12-04
6261,2012-01-19
6433,2012-09-27
7417,2016-08-15
3758,2002-03-12
6429,2012-09-21
6429,2012-09-21
6429,2012-09-21
7015,2015-01-16
7061,2015-03-24
8985,2022-10-11
6890,2014-07-21
6306,2012-03-23
6306,2012-03-23
8067,2019-03-05
5386,2008-07-24
5386,2008-07-24
5347,2008-05-29
7738,2017-11-13
7599,2017-05-02
8822,2022-02-16
8822,2022-02-16
6139,2011-07-22
5670,2009-09-09
4086,2003-06-23
3992,2003-02-11
3197,1999-12-29
5383,2008-07-21
3990,2003-02-07
3520,2001-04-06
4334,2004-06-08
1387,1992-10-20
1444,1993-01-12
1444,1993-01-12
681,1990-01-19
681,1990-01-19
609,1989-10-06
2477,1997-02-13
1909,1994-11-14
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
32,1987-07-07
778,1990-06-08
778,1990-06-08
778,1990-06-08
778,1990-06-08
792,1990-06-28
792,1990-06-28
792,1990-06-28
792,1990-06-28
1500,1993-04-01
1376,1992-10-05
1794,1994-06-03
282,1988-06-29
282,1988-06-29
282,1988-06-29
282,1988-06-29
